secid,date,low,high,open,close
108105,20130530,1648.61,1661.91,1649.14,1654.41
108105,20130531,1630.74,1658.99,1652.13,1630.74
108105,20130603,1622.72,1640.42,1631.71,1640.42
108105,20130604,1623.62,1646.53,1640.73,1631.38
108105,20130605,1607.09,1629.31,1629.05,1608.9
108105,20130606,1598.23,1622.56,1609.29,1622.56
108105,20130607,1625.27,1644.4,1625.27,1643.38
108105,20130610,1639.26,1648.69,1644.67,1642.81
108105,20130611,1622.92,1640.13,1638.64,1626.13
108105,20130612,1610.92,1637.71,1629.94,1612.52
108105,20130613,1608.07,1639.25,1612.15,1636.36
108105,20130614,1623.96,1640.8,1635.52,1626.73
108105,20130617,1630.34,1646.5,1630.64,1639.04
108105,20130618,1639.77,1654.19,1639.77,1651.81
108105,20130619,1628.91,1652.45,1651.83,1628.93
108105,20130620,1584.32,1624.62,1624.62,1588.19
108105,20130621,1577.7,1599.19,1588.62,1592.43
108105,20130624,1560.33,1588.77,1588.77,1573.09
108105,20130625,1577.09,1593.79,1577.52,1588.03
108105,20130626,1592.27,1606.83,1592.27,1603.26
108105,20130627,1606.44,1620.07,1606.44,1613.2
108105,20130628,1601.06,1615.94,1611.12,1606.28
108105,20130701,1609.78,1626.61,1609.78,1614.96
108105,20130702,1606.77,1624.26,1614.29,1614.08
108105,20130703,1604.57,1618.97,1611.48,1615.41
108105,20130705,1614.71,1632.07,1618.65,1631.89
108105,20130708,1634.2,1644.68,1634.2,1640.46
108105,20130709,1642.89,1654.18,1642.89,1652.32
108105,20130710,1647.66,1657.92,1651.56,1652.62
108105,20130711,1657.41,1676.63,1657.41,1675.02
108105,20130712,1672.33,1680.19,1675.26,1680.19
108105,20130715,1677.89,1684.51,1679.59,1682.5
108105,20130716,1671.84,1683.73,1682.7,1676.26
108105,20130717,1677.91,1684.75,1677.91,1680.91
108105,20130718,1681.05,1693.12,1681.05,1689.37
108105,20130719,1684.08,1692.09,1686.15,1692.09
108105,20130722,1690.67,1697.61,1694.41,1695.53
108105,20130723,1691.13,1698.78,1696.63,1692.39
108105,20130724,1682.57,1698.38,1696.06,1685.94
108105,20130725,1680.07,1690.94,1685.21,1690.25
108105,20130726,1676.03,1691.85,1687.31,1691.65
108105,20130729,1681.86,1690.92,1690.32,1685.33
108105,20130730,1682.42,1693.19,1687.92,1685.96
108105,20130731,1684.94,1698.43,1687.76,1685.73
108105,20130801,1689.42,1707.85,1689.42,1706.87
108105,20130802,1700.68,1709.67,1706.1,1709.67
108105,20130805,1703.55,1709.24,1708.01,1707.14
108105,20130806,1693.29,1705.79,1705.79,1697.37
108105,20130807,1684.91,1695.3,1695.3,1690.91
108105,20130808,1688.38,1700.18,1693.35,1697.48
108105,20130809,1686.02,1699.42,1696.1,1691.42
108105,20130812,1683.35,1691.49,1688.37,1689.47
108105,20130813,1682.62,1696.81,1690.65,1694.16
108105,20130814,1684.83,1695.52,1693.88,1685.39
108105,20130815,1658.59,1679.61,1679.61,1661.32
108105,20130816,1652.61,1663.6,1661.22,1655.83
108105,20130819,1645.84,1659.18,1655.25,1646.06
108105,20130820,1646.08,1658.92,1646.81,1652.35
108105,20130821,1639.43,1656.99,1650.66,1642.8
108105,20130822,1645.03,1659.55,1645.03,1656.96
108105,20130823,1654.81,1664.85,1659.92,1663.5
108105,20130826,1656.02,1669.51,1664.29,1656.78
108105,20130827,1629.05,1652.54,1652.54,1630.48
108105,20130828,1627.47,1641.18,1630.25,1634.96
108105,20130829,1630.88,1646.41,1633.5,1638.17
108105,20130830,1628.05,1640.08,1638.89,1632.97
108105,20130903,1633.41,1651.35,1635.95,1639.77
108105,20130904,1637.41,1655.72,1640.72,1653.08
108105,20130905,1653.07,1659.17,1653.28,1655.08
108105,20130906,1640.62,1664.83,1657.44,1655.17
108105,20130909,1656.85,1672.4,1656.85,1671.71
108105,20130910,1674.32,1684.09,1674.32,1683.99
108105,20130911,1678.7,1689.13,1681.04,1689.13
108105,20130912,1681.96,1689.97,1689.21,1683.42
108105,20130913,1682.22,1688.73,1685.04,1687.99
108105,20130916,1691.7,1704.95,1691.7,1697.6
108105,20130917,1697.73,1705.52,1697.73,1704.76
108105,20130918,1700.35,1729.44,1705.74,1725.52
108105,20130919,1720.2,1729.86,1727.34,1722.34
108105,20130920,1708.89,1725.23,1722.44,1709.91
108105,20130923,1697.1,1711.44,1711.44,1701.84
108105,20130924,1694.9,1707.63,1702.6,1697.42
108105,20130925,1691.88,1701.71,1698.02,1692.77
108105,20130926,1693.11,1703.85,1694.05,1698.67
108105,20130927,1687.11,1695.52,1695.52,1691.75
108105,20130930,1674.99,1687.26,1687.26,1681.55
108105,20131001,1682.07,1696.55,1682.41,1695
108105,20131002,1680.34,1693.87,1691.9,1693.87
108105,20131003,1670.36,1692.35,1692.35,1678.66
